thisN,thisTrialN,thisRepN,key_instruct.keys,key_instruct.rt,key_instruct.duration,make_or_miss.keys,make_or_miss.rt,make_or_miss.duration,button_yes_make.numClicks,button_yes_make.timesOn,button_yes_make.timesOff,button_no_miss.numClicks,button_no_miss.timesOn,button_no_miss.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,key_instruct.started,intro.stopped,trials.key_instruct.keys,trials.key_instruct.rt,trials.key_instruct.duration,trial.started,beep.started,beep.stopped,trial.stopped,result.started,make_or_miss.started,text.started,button_yes_make.started,button_no_miss.started,result.stopped,trials.make_or_miss.keys,trials.make_or_miss.rt,trials.make_or_miss.duration,trials.button_yes_make.numClicks,trials.button_yes_make.timesOn,trials.button_yes_make.timesOff,trials.button_no_miss.numClicks,trials.button_no_miss.timesOn,trials.button_no_miss.timesOff,participant,session,auto_mode,date,expName,expVersion,psychopyVersion,expStart,
36,0,36,space,0.43633699999190867,None,y,1.903078400006052,None,0,,,0,,,36,0,36,0,384.759612200025,,,384.75455760001205,384.759612200025,385.20991900004447,space,0.43633699999190867,None,385.22096430003876,392.8072845666941,393.0627039000392,393.0525850999984,393.0531111000455,393.0627039000392,393.0627039000392,393.0627039000392,393.0627039000392,394.97669920005137,y,1.903078400006052,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
37,0,37,space,0.46383450005669147,None,n,2.179477500030771,None,0,,,0,,,37,0,37,0,394.9902810000349,,,394.98500410001725,394.9902810000349,395.45864560001064,space,0.46383450005669147,None,395.4671759000048,403.07380486670104,403.3308603000478,403.32079800002975,403.3211327000172,403.3308603000478,403.3308603000478,403.3308603000478,403.3308603000478,405.5256173000089,n,2.179477500030771,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
38,0,38,space,0.44752069999231026,None,n,1.9834257999900728,None,0,,,0,,,38,0,38,0,405.5404989000526,,,405.5343527000514,405.5404989000526,405.9916144000017,space,0.44752069999231026,None,406.0015668999986,413.62369946670174,413.87923630001023,413.8686891000252,413.86901990004117,413.87923630001023,413.87923630001023,413.87923630001023,413.87923630001023,415.87522500002524,n,1.9834257999900728,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
39,0,39,space,0.5316013999981806,None,n,2.4394986999686807,None,0,,,0,,,39,0,39,0,415.89083730004495,,,415.88585840002634,415.89083730004495,416.4264671000419,space,0.5316013999981806,None,416.4365834000055,423.95667576668006,424.2092560000019,424.2014570000465,424.20167650002986,424.2092560000019,424.2092560000019,424.2092560000019,424.2092560000019,426.65988940000534,n,2.4394986999686807,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
40,0,40,space,0.49363680003443733,None,y,2.6966682000202127,None,0,,,0,,,40,0,40,0,426.6753463000059,,,426.67027410003357,426.6753463000059,427.17575059999945,space,0.49363680003443733,None,427.18688250001287,434.7562999667173,435.02140690002125,435.01064650004264,435.01101200003177,435.02140690002125,435.02140690002125,435.02140690002125,435.02140690002125,437.72821740002837,y,2.6966682000202127,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
41,0,41,space,0.6676279000239447,None,y,2.3565477000083774,None,0,,,0,,,41,0,41,0,437.74614620005013,,,437.7401293000439,437.74614620005013,438.42550770001253,space,0.6676279000239447,None,438.43913680000696,445.9396543666992,446.199076400022,446.18744110001717,446.1877034000354,446.199076400022,446.199076400022,446.199076400022,446.199076400022,448.5595919000334,y,2.3565477000083774,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
42,0,42,space,0.9560253000236116,None,n,1.877182799973525,None,0,,,0,,,42,0,42,0,448.57309840002563,,,448.5692373000202,448.57309840002563,449.5414234000491,space,0.9560253000236116,None,449.55231310002273,457.25637536670934,457.51452920003794,457.50455320003675,457.50488459999906,457.51452920003794,457.51452920003794,457.51452920003794,457.51452920003794,459.40873940003803,n,1.877182799973525,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
43,0,43,space,1.1002755999797955,None,y,2.034707700018771,None,0,,,0,,,43,0,43,0,459.4229369000532,,,459.41797350003617,459.4229369000532,460.5275614000275,space,1.1002755999797955,None,460.53769990004366,468.28932906670184,468.55184970004484,468.54258360003587,468.5428374000476,468.55184970004484,468.55184970004484,468.55184970004484,468.55184970004484,470.5931508000358,y,2.034707700018771,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
44,0,44,space,0.5956211999873631,None,y,1.817172200011555,None,0,,,0,,,44,0,44,0,470.61133990000235,,,470.60584329999983,470.61133990000235,471.2105070000398,space,0.5956211999873631,None,471.22153510001954,478.9061681666683,479.16085080004996,479.15134209999815,479.1516496000113,479.16085080004996,479.16085080004996,479.16085080004996,479.16085080004996,480.99177439999767,y,1.817172200011555,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
45,0,45,space,0.5751056000008248,None,n,2.414452600001823,None,0,,,0,,,45,0,45,0,481.00697980000405,,,481.00222310004756,481.00697980000405,481.5919630000135,space,0.5751056000008248,None,481.60225320002064,489.2060215667045,489.4596537000034,489.4503429000033,489.45063670002855,489.4596537000034,489.4596537000034,489.4596537000034,489.4596537000034,491.89082359999884,n,2.414452600001823,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
46,0,46,space,0.43002819997491315,None,n,1.9374947000178508,None,0,,,0,,,46,0,46,0,491.9055827000411,,,491.8995816000388,491.9055827000411,492.3418320000055,space,0.43002819997491315,None,492.35393850004766,499.90586296667266,500.15975099999923,500.14943010004936,500.1497744000517,500.15975099999923,500.15975099999923,500.15975099999923,500.15975099999923,502.10802920005517,n,1.9374947000178508,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
47,0,47,space,0.34386139997513965,None,n,2.1592009000014514,None,0,,,0,,,47,0,47,0,502.12235050002346,,,502.11780260002706,502.12235050002346,502.47495960001834,space,0.34386139997513965,None,502.48657480004476,510.0057360666726,510.26101980003295,510.2512171000126,510.25155070004985,510.26101980003295,510.26101980003295,510.26101980003295,510.26101980003295,512.426016100042,n,2.1592009000014514,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
